word,canonical_lemma,chinese_translation,our_emotion_category,affect_type,frequency_21215,in_nrc_lexicon,nrc_8_emotions,nrc_polarities,nrc_raw_list
unsettled,unsettled,心神不宁忐忑的,Uneasiness / Anxiety,E1_State (Direct Internal Affective State),3,True,"anger, disgust, fear",negative,"['anger', 'disgust', 'fear', 'negative']"
agreeable,agreeable,宜人的 / 令人满意的,Unclassified,E1_E2_Candidate,2,True,trust,positive,"['positive', 'trust']"
animated,animated,生动的 / 活力充沛的,Unclassified,E1_E2_Candidate,2,True,joy,positive,"['joy', 'positive']"
bothering,bothering,打扰令人烦心的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),2,True,"anger, sadness",negative,"['anger', 'negative', 'sadness']"
clever,clever,聪明睿智的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),2,True,Unmapped in NRC,positive,['positive']
compliant,compliant,顺从的 / 合规安心的,Unclassified,E1_E2_Candidate,2,True,Unmapped in NRC,positive,['positive']
darling,darling,可爱的 / 亲切的,Unclassified,E1_E2_Candidate,2,True,"joy, trust",positive,"['joy', 'positive', 'trust']"
desperate,desperate,感到绝望迫切的,Unclassified,E1_State (Direct Internal Affective State),2,True,Unmapped in NRC,negative,['negative']
exhausting,exhausting,令人筋疲力尽的,Fatigue / Exhaustion,E2_Appraisal (Stimulus/Service Attribute),2,False,Unmapped in NRC,Unmapped in NRC,[]
favourable,favourable,有利的 / 良好的,Unclassified,E1_E2_Candidate,2,False,Unmapped in NRC,Unmapped in NRC,[]
humility,humility,谦逊贴心,Unclassified,E2_Appraisal (Stimulus/Service Attribute),2,True,trust,positive,"['positive', 'trust']"
offensive,offensive,冒犯的 / 令人不适的,Unclassified,E1_E2_Candidate,2,True,"anger, disgust",negative,"['anger', 'disgust', 'negative']"
positively,positively,积极正面地,Unclassified,E1_E2_Candidate,2,False,Unmapped in NRC,Unmapped in NRC,[]
primo,primo,一流的 / 顶级的,Unclassified,E1_E2_Candidate,2,False,Unmapped in NRC,Unmapped in NRC,[]
pumped,pumped,兴奋激动的 / 跃跃欲试,Unclassified,E1_State (Direct Internal Affective State),2,False,Unmapped in NRC,Unmapped in NRC,[]
rigid,rigid,刻板不近人情的,Unclassified,E1_E2_Candidate,2,True,Unmapped in NRC,negative,['negative']
squeamish,squeamish,胆怯恶心体质易受惊的,Unclassified,E1_State (Direct Internal Affective State),2,True,"disgust, fear",negative,"['disgust', 'fear', 'negative']"
suffering,suffering,受苦受难不适,Unclassified,E1_State (Direct Internal Affective State),2,True,"disgust, fear, sadness",negative,"['disgust', 'fear', 'negative', 'sadness']"
threaten,threaten,受到威胁/令人不安的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),2,True,"anger, anticipation, fear",negative,"['anger', 'anticipation', 'fear', 'negative']"
askance,askance,怀疑斜视地（不信任）,Unclassified,E1_E2_Candidate,1,False,Unmapped in NRC,Unmapped in NRC,[]
bluest,bluest,最湛蓝的（极致景色）,Unclassified,E1_E2_Candidate,1,False,Unmapped in NRC,Unmapped in NRC,[]
bluntly,bluntly,直言不讳地,Unclassified,E1_E2_Candidate,1,False,Unmapped in NRC,Unmapped in NRC,[]
decency,decency,礼貌体面 / 服务缺乏礼貌体面,Unclassified,E2_Appraisal (Stimulus/Service Attribute),1,True,Unmapped in NRC,positive,['positive']
dismay,dismay,感到沮丧吃惊,Disappointment / Distress,E1_State (Direct Internal Affective State),1,True,"anger, anticipation, fear, sadness, surprise",negative,"['anger', 'anticipation', 'fear', 'negative', 'sadness', 'surprise']"
disrespectful,disrespectful,无礼的 / 冒犯的,Unclassified,E1_E2_Candidate,1,True,"anger, disgust, fear, sadness",negative,"['anger', 'disgust', 'fear', 'negative', 'sadness']"
flaky,flaky,不靠谱的 / 经常取消的,Unclassified,E1_E2_Candidate,1,False,Unmapped in NRC,Unmapped in NRC,[]
gloom,gloom,阴郁忧伤,Sadness / Gloom,E1_State (Direct Internal Affective State),1,True,sadness,negative,"['negative', 'sadness']"
grandest,grandest,最宏大的 / 极其壮丽的,Unclassified,E1_E2_Candidate,1,False,Unmapped in NRC,Unmapped in NRC,[]
grumpy,grumpy,脾气暴躁的 / 不悦的,Unclassified,E1_E2_Candidate,1,True,"anger, disgust, sadness",negative,"['anger', 'disgust', 'negative', 'sadness']"
harsh,harsh,严酷恶劣的,Unclassified,E1_E2_Candidate,1,False,Unmapped in NRC,Unmapped in NRC,[]
hazardous,hazardous,危险的 / 有隐患的,Unclassified,E1_E2_Candidate,1,True,fear,negative,"['fear', 'negative']"
hostile,hostile,敌意的 / 恶劣的,Unclassified,E1_E2_Candidate,1,True,"anger, disgust, fear",negative,"['anger', 'disgust', 'fear', 'negative']"
immeasurable,immeasurable,无法估量的 / 极致的,Unclassified,E1_E2_Candidate,1,False,Unmapped in NRC,Unmapped in NRC,[]
miraculously,miraculously,奇迹般地,Unclassified,E1_E2_Candidate,1,False,Unmapped in NRC,Unmapped in NRC,[]
quell,quell,镇定 / 平息（恐惧）,Unclassified,E1_State (Direct Internal Affective State),1,True,Unmapped in NRC,negative,['negative']
racist,racist,种族歧视的,Unclassified,E1_E2_Candidate,1,False,Unmapped in NRC,Unmapped in NRC,[]
regrettably,regrettably,遗憾地 / 抱歉,Unclassified,E2_Appraisal (Stimulus/Service Attribute),1,False,Unmapped in NRC,Unmapped in NRC,[]
reward,reward,赏心悦目的奖赏体验,Unclassified,E1_State (Direct Internal Affective State),1,True,"anticipation, joy, surprise, trust",positive,"['anticipation', 'joy', 'positive', 'surprise', 'trust']"
shady,shady,可疑不诚信的,Unclassified,E1_E2_Candidate,1,True,fear,negative,"['fear', 'negative']"
truthful,truthful,真实可信的,Unclassified,E1_E2_Candidate,1,True,trust,Unmapped in NRC,['trust']
ungodly,ungodly,糟糕恶劣的,Unclassified,E1_E2_Candidate,1,True,sadness,negative,"['negative', 'sadness']"
unwell,unwell,身体不适的,Unclassified,E1_E2_Candidate,1,True,sadness,negative,"['negative', 'sadness']"
wasbeautiful,wasbeautiful,美丽动人的（美感）,Unclassified,E1_E2_Candidate,1,False,Unmapped in NRC,Unmapped in NRC,[]
whelmed,whelmed,被深深震撼淹没的,Unclassified,E1_State (Direct Internal Affective State),1,False,Unmapped in NRC,Unmapped in NRC,[]
worthful,worthful,物有所值的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),1,False,Unmapped in NRC,Unmapped in NRC,[]
zing,zing,刺激快感,Unclassified,E1_State (Direct Internal Affective State),1,False,Unmapped in NRC,Unmapped in NRC,[]
