word,chinese_translation,affect_type,stage_origin,frequency_21215,review_count_21215,example_context
touching,令人动容流泪的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),19,19,"review_2b40b4841c3dee7f27beb279 :: To see the waterfalls, the green and lush Forrest’s, the breaking waves up close from a birds eyes view, flying along Maui’s coast, touching down in Hana, circling back over the Re..."
amazement,惊叹 / 惊奇,E1_E2_Candidate,Stage 1 (500 Discovery),18,18,"review_101f174eb4cfd0a4e16a1f3a :: Fabulous would be a one-word description. As a resident of this area I have explored much of the wonders that exist here and am always amazed, but nothing I have done compared to t..."
astounding,令人无比震撼惊叹的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),18,18,"review_2d970adeab08f42c221055fa :: ""Awesome"" is an overused word, but this trip did inspire awe. Our sunset flight around Maui was worth every penny. Eric, our pilot, was very careful and very deliberate, even in th..."
charm,顺畅 / 令人满意,E1_E2_Candidate,Stage 1 (500 Discovery),18,17,review_fea58727faaa3a0887fe14ea :: We had a very short time to explore the Grand Canyon. We decided to take the early flight and were completely satisfied in every respect. Of course the views were absolutely magnif...
chill,惬意轻松的,E1_E2_Candidate,Stage 1 (500 Discovery),18,18,review_c644dffed055c9ffed05da8e :: A friend and I took the Canyonlands and Arches tour and it was so worth it! We got amazing views and fabulous information about the area - both current and historical. The scenery ...
danger,危险 / 威胁,E1_E2_Candidate,Stage 1 (500 Discovery),18,15,review_53b0a5ffb78591e0ab138207 :: We visited Ketchikan and did the seaplane excursion with Taquan Air Tours only about a month after a couple of highly publicized accidents involving the company in the summer of 20...
easiest,最省心的 / 最容易的,E1_E2_Candidate,Stage 1 (500 Discovery),18,18,"review_a06da3e67eb4c410ae017b3a :: We have a cabin in the Roche Harbor area and have been going up multiple times a year.  During those years we have used every means of transport to get back and forth, boats, ferri..."
effective,有效划算的,E1_E2_Candidate,Stage 1 (500 Discovery),18,18,"review_76c55e39b0773f8b61bae4b5 :: We are frequent visitors to Maui and decided to do an aerial tour of the island on this trip.  After researching the various options, helicopter vs fixed wing, we decided to book w..."
haha,哈哈（欢快情绪）,E1_E2_Candidate,Stage 1 (500 Discovery),18,18,review_9a2b5565899f58a48d116d2f :: The whole experience was amazing. Get on the tarmac and up in the sky within ten minutes. Fly past beautiful sheer cliffs with waterfalls looking into valleys. Soar over Molokai. P...
handy,实用的 / 贴心的,E1_E2_Candidate,Stage 1 (500 Discovery),18,17,review_e55f985b9a9c0b8f6f16b85a :: Really great flight with views of humpback one way and mountains the other. Ex navy pilot so in good hands. The bear watching was a short 10 min walk through the rain forest with M...
honesty,真诚 / 诚信解说,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),18,18,"review_89e5de5165fe9b07fc56567b :: The same group of us went on another Alaskan fly in hunt in 2015. We posted the review in August 2014 titled ""Top Notch Service"". If I could figure out how to remove the review fro..."
keen,热情的 / 敏锐的,E1_E2_Candidate,Stage 1 (500 Discovery),18,18,review_60473c0e40448c0f8b0b19ae :: We stayed in Best Western at Tusayan and headed out early for our 45 min trip. Stopped at first Helicopter place we saw. Went inside and it was chaos. Luckily it was the wrong plac...
secret,秘境 / 私密独享感,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),18,18,"review_031036402b8d1feadd5fe9b6 :: If Maui has a secret tourist menu, Maui plane rides would be on it!

This was easily the highlight of our honeymoon trip. 

We flew from Maui to Hilo with a tour over the crater. 
..."
smart,聪慧的 / 明智的,E1_E2_Candidate,Stage 1 (500 Discovery),18,18,review_3ba1137cb1b4e9207840a231 :: We found a really nice fishing experiance in Talkeetna.Starting with Molly the office manager to the pilots and guides. All were friendly and accomodating. Yes we did catch many fi...
soothing,舒缓抚慰人心的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),18,18,review_348b4aff02fdf2a7c1edf068 :: We had a once in a lifetime experience on Westwind's Signature Grand Canyon South and Ground Tour. I have a terrible fear of flying but I was desperate to be able to do this tour. ...
witty,风趣幽默的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),18,18,"review_eed423882003ad43d2971776 :: A visit to Alaska would be incomplete without this seaplane Ride. 75 minutes of Bliss. Breathtaking scenarios, mountains, lakes, sea, landing on water. The pilot keeps us enlighten..."
cordial,热情亲切礼貌的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),17,17,"review_2ab84d4e54ab89b0a6438d07 :: It was absolutelybperfect. The pilot was very informative and cordial.
The views were amazing. I would highly recommend Harbor Island flights...."
discomfort,身体/心理不适感,E1_State (Direct Internal Affective State),Stage 2 (2000 Expansion),17,17,"review_d54044a5fa913836c42badc4 :: We were picked up by bus from our ship and driven to our destination. Our driver was also a tour guide along the way. After some brief instructions, we boarded the sea plane with 4..."
energetic,精力充沛的,E1_E2_Candidate,Stage 1 (500 Discovery),17,17,review_3e7f70010a8da5af58fbdbc6 :: We had a great trip over to San Juan Island! Our pilot was young energetic! From the time we took off and landed was a great experience! I definitely will use this company again...
hopes,期盼 / 希望,E1_E2_Candidate,Stage 1 (500 Discovery),17,17,"review_58ba87f9326f017e0b3399ae :: I hate to write a review in the midst of COVID for a small business, but unfortunately due to our experience I’m writing this in hopes that nobody else has the same experience. We ..."
overwhelmed,被震撼/感动深深淹没的,E1_State (Direct Internal Affective State),Stage 2 (2000 Expansion),17,17,"review_6ff2bf585c38d285c4cfa6ac :: Always be overwhelmed and Thankful for people who made it possible for you all as a travel agency also being specific.
Have about a couple of days rest with Vegetable and Chicken M..."
security,安全感 / 心理保障,E1_State (Direct Internal Affective State),Stage 2 (2000 Expansion),17,15,review_53b0a5ffb78591e0ab138207 :: We visited Ketchikan and did the seaplane excursion with Taquan Air Tours only about a month after a couple of highly publicized accidents involving the company in the summer of 20...
suffer,遭受痛苦/晕机,E1_State (Direct Internal Affective State),Stage 2 (2000 Expansion),17,17,"review_490c8ecf885f76429e319219 :: My Canyon Spirit  helicopter tour was part of a 2200 mile motor trip including Zion, Bryce, Monument Valley and Page.  The decision to view the Grand Canyon by air instead of hikin..."
valuable,珍贵的 / 有价值的,E1_E2_Candidate,Stage 1 (500 Discovery),17,17,"review_78bf3660eb23b17b8c5167ba :: Amazing!! Very safe, friendly, & kiddos (age 10 & 9) had a blast. Eric was so personable, and patient. Taught the kids some valuable life lessons.  Our daughter even got to fly! Th..."
claustrophobic,感到幽闭恐惧压抑的,E1_State (Direct Internal Affective State),Stage 2 (2000 Expansion),16,16,"review_59c78627992f906fe1ccc656 :: What a fantastic ride with Riley. 
I am afraid of heights, get motion sickness and claustrophobic.
So why do it? My granddaughter said I need to face my fears.
I am SO glad I did.
..."
insane,疯狂震撼的 / 极端的,E1_E2_Candidate,Stage 1 (500 Discovery),16,16,"review_f3c97b61a8daa1ce25a8dc32 :: This experience was totally insane, once in a lifetime.  The K2 staff was so friendly and enthusiastic, and we don't have enough good things to say about our pilot, Doug.  He was e..."
leery,提防警惕 / 顾虑重重的,E1_State (Direct Internal Affective State),Stage 2 (2000 Expansion),16,16,review_0b686f86aff924122f4f81be :: Not enough stars to rate our experience!! Went to Alaska on a limited budget so was very leery about what I spent my money on. Came back with an experience we will never forget!! D...
sensational,绝佳轰动震撼的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),16,15,"review_69b44dac34b50350cfb373aa :: Steve, our pilot was sensational.   We were greeted by name, promptness, and courtesy.  They took our bags and explained the flight procedure.   Steve pointed out areas of interest..."
sudden,突然的 / 猝不及防的,E1_E2_Candidate,Stage 1 (500 Discovery),16,15,review_8c0db0bdb59e4fa806fefc4d :: We had a great time on our flight over the Grand Canyon. The sightseeing was terrific. The pilot took us down low just before we entered the canyon and it looked like we were going...
uncertain,不确定的 / 顾虑的,E1_E2_Candidate,Stage 1 (500 Discovery),16,16,review_4054c024c17b512d4bdf9063 :: On two other trips to Alaska I have booked with K2 and had the flights cancelled due to weather.  Please note that this was no problem for me.  They are not going to fly if it is u...
worthy,非常值的 / 值得的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),16,16,review_7de9116457ea228570968399 :: Laura was an excellent pilot! My husband was very excited being a co pilot! I so recommend this activity! Super worthy ❤️...
awful,极其糟糕的,E1_E2_Candidate,Stage 1 (500 Discovery),15,14,"review_58ba87f9326f017e0b3399ae :: I hate to write a review in the midst of COVID for a small business, but unfortunately due to our experience I’m writing this in hopes that nobody else has the same experience. We ..."
bubbly,活泼热情的,E1_E2_Candidate,Stage 1 (500 Discovery),15,15,review_3a53d5847c12a4a59f03c46f :: We had an amazing experience! And the views were spectacular! The owner was very attentive and accommodating we arrived earlier than our departure time and he greeted us with bubbl...
fuss,大惊小怪 / 争吵骚动,E1_E2_Candidate,Stage 1 (500 Discovery),15,15,"review_b241dd3384839bc487012204 :: Loved the flight ... the plane came in to Friday Harbor a bit late (about 10 minutes), and for those of us used to constant updates on delayed flights on the regularly scheduled ma..."
hilarious,爆笑幽默搞笑的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),15,15,"review_3b988ac9aff776f3e5253666 :: Best plane ride ever, Eric is hilarious and the views are great. Wonderful pilot with lots of local information...."
immaculate,完美无瑕洁净的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),15,15,"review_9e2eeecffb6e74720d2860cd :: We happened by this on the way to Talkeetna and pulled in. Due to the immaculate condition of the facilities and grounds, we decided on the spot to book a half hour wildlife viewin..."
respectful,充满敬意的,E1_E2_Candidate,Stage 1 (500 Discovery),15,15,"review_ae46e39f1b175714cb75baa9 :: Very beautiful and nice view, we had very excellent flying time , the driver was very respectful kind , it made me feel comfortable , definitely will invite more friends for the to..."
unprofessional,不专业的,E1_E2_Candidate,Stage 1 (500 Discovery),15,11,"review_bab7f7cc358ec4ceac7b8c73 :: We got food poisoning the day before the scheduled flight. We sent them the email and call to ask them to refund back, since we are in such a condition. They didnt answer at all, t..."
authentic,地道的 / 真实无伪的,E1_E2_Candidate,Stage 1 (500 Discovery),14,14,review_3905519a1dd7aacea307ddb2 :: My family and I decided to take the longer Denali Flightseeing tour after many phone calls with Alaska Bush Floatplane's office staff. I spoke to both Molly and Nancy on different ...
bothered,困扰的 / 烦心的,E1_E2_Candidate,Stage 1 (500 Discovery),14,14,review_13cfc297d5624649db5bc70e :: If you come to Alaska for vacation or even if you live here don't miss a flightseeing tour of Denali. It gives you an entirely different perspective on how unique and amazingly hug...
frustrating,令人挫败的 / 烦人的,E1_E2_Candidate,Stage 1 (500 Discovery),14,13,"review_f1e5a291eae3dccb9e736a5f :: I could not recommend taking a K2 flying tour more. It was the highlight of our trip to Alaska and one of the most unforgettable experiences I've ever had. 

K2 watched the weather..."
glowing,极度赞赏口碑极佳的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),14,14,review_5115b1af2617860724d7db16 :: We did the Misty Fjords floatplane trip as part of a Princess cruise option package and it came with glowing recommendations. Conditions very wet with low cloud and storms but we d...
intrusive,突兀扰人的 / 煞风景的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),14,14,review_9b671a4a18576bc5f6646fe5 :: This aerial tour of the Ketchikan area and surrounding fjords was outstanding.  The flight contained pre-recorded audio that was informative but not intrusive.  We observed mountai...
praise,称赞 / 高度赞扬,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),14,14,"review_e8fa0468f76cbb41cb9681a5 :: I can’t praise this flight enough with Maverick. Well organised, easy to find location at the Grand Canyon airport, and professional pilot. To view the canyon in this way was truly..."
ruined,毁掉行程的 / 扫兴糟心的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),14,14,review_b663b185089984f92724578d :: I had a confirmed booked through Alaska Shore Tours for the Neets Bay Floatplane bear watch tour. At the time I was not aware that Alaska Shore Tours had subcontracted the tour to ...
trustworthy,值得信赖靠谱的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),14,14,"review_d579c7ce2ec144775d909031 :: My family and I booked a package tour with Friday Harbor Seaplanes and Western Prince Explorer Whale Watching. We all had a great and comfortable time on the flight, which felt saf..."
apologetic,诚恳抱歉致歉的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),13,13,review_424fbb9d6e421999c5c274a3 :: We were initially scheduled for the longer flight with a glacier landing. Weather did not cooperate. When we arrived the staff was very apologetic and switched us to shorter flight...
pleasurable,令人愉快的,E1_E2_Candidate,Stage 1 (500 Discovery),13,13,"review_62973558ebb173e071202d4b :: For the last two years, my dog and I (along with friends and family) have flown both regular scheduled flights and  chartered flights from Renton to/from Gulf Islands, Desolation S..."
precious,弥足珍贵的 memory,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),13,12,review_2617675e32c2ff64c2d1776f :: We only had two precious days to spend in Talkeetna and when we left Anchorage to drive up it was totally cloudy and raining. It proceeded to rain for the next 30 hours so we were ...
responsible,负责任的,E1_E2_Candidate,Stage 1 (500 Discovery),13,13,review_380d0bf92560e2ddee92a284 :: The company is highly responsible and safe. Clean and neat flights. I loved the experience to be my first seaplane and sky tour of Seattle and the ocean towards Friday Harbor....
safest,最安全平稳的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),13,13,"review_660925709b87d39fb41ac888 :: There are not many words that can actually describe this experience. It's one of those things that makes traveling so far, all worth it! Firstly, I have to say that our original to..."
tricky,棘手不安的,E1_E2_Candidate,Stage 1 (500 Discovery),13,12,review_57b32ee169e8616c51b67381 :: This was absolutely amazing. Highly recommend. Our pilot and copilot were really fun/funny. The sights were incredible and they made sure to get us the best views since the weather...
uneasy,心神不宁感到不安的,E1_State (Direct Internal Affective State),Stage 2 (2000 Expansion),13,13,review_f06a0bf63ccec9ccaa225eb1 :: Had a spectacular flight with Eric a day after we got married. He made sure to make it extra special for us. We felt a little uneasy about being in a small plane (partly because wi...
vibrant,生机勃勃色彩斑斓的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),13,13,"review_fd864c9ebaaabae89c811cd9 :: Our guide was amazing! We were able to see whales, learn a few facts about the volcano and Valley . The colors this time of year were extremely vibrant and would recommend to any c..."
worldly,超凡脱俗的,E1_E2_Candidate,Stage 1 (500 Discovery),13,13,"review_06fe930fc752a207b547256e :: Holy COW!!  An experience that will leave you in constant wonder!  Other worldly, and awe inspiring. Landing on the glacier was truly incredible!  The views are something you’ll ne..."
soaking,沉浸于（soaking in view）,E1_E2_Candidate,Stage 1 (500 Discovery),12,12,"review_396ecb644eb09a1ed120d1b3 :: Absolute amazing, circle island tour was so incredible. My photo library is full of incredible photos and I spent most of the trip just soaking everything in...."
stuffy,闷热不适的（体感不适）,E1_E2_Candidate,Stage 1 (500 Discovery),12,12,"review_9a34e794ea1f9d86dc7a645e :: We took a flight over Misty Fjords as a cruise ship excursion.  The scenery is incredibly beautiful. Our pilot was great, and his commentary over the headphones was very informativ..."
superbly,出类拔萃完美地,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),12,12,"review_6993a2ad99a052b4ec824bb3 :: Great welcome in a superbly maintained office area. From the moment you come in to the landing you feel that safety is taken to  the upmost level. 

Everyone and every belonging ar..."
wondrous,惊叹奇妙的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),12,12,"review_101f174eb4cfd0a4e16a1f3a :: Fabulous would be a one-word description. As a resident of this area I have explored much of the wonders that exist here and am always amazed, but nothing I have done compared to t..."
cheesy,俗气的 / 劣质的,E1_E2_Candidate,Stage 1 (500 Discovery),11,11,"review_04494bd45c6b9ff4f0e3e57f :: On 7/25/2023 we took the Misty Fjords flight seeing tour.   There were a total of 8 passengers on a well maintained DHC-3.  

The best I can say is that Taquan Air completely maile..."
inviting,引人入胜令人愉悦的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),11,11,review_39496617c0521efe63e69b0a :: Our trip was a blast! The Pilot was knowledgeable about the area and made the whole experience fun! The flight was smooth and the scenes were beautiful! The office gals were friend...
mad,发怒的 / 生气的,E1_E2_Candidate,Stage 1 (500 Discovery),11,11,"review_1c13e4501d06adc6e82c7474 :: We visited the misty fjords today while on an Alaskan cruise.  We had a beautiful sunny day today.  We did the float plane tour this morning.

I really enjoyed the tour but I would..."
nervousness,紧张不安的情绪,E1_State (Direct Internal Affective State),Stage 2 (2000 Expansion),11,11,"review_8b5d0e6ee66a727341e87a76 :: Despite a fear of heights and, therefore, a degree of pre flight nervousness this was an experience I would not have missed for the world. A sunny, clear day, magnificent scenery a..."
rewarding,非常有成就感/物超所值的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),11,11,"review_7ca003e4cd5979555b9afcfc :: This helicopter trip around the island exceeded my expectations and was definitely an unforgettable journey! From beginning to end, every detail is very careful, so that you feel t..."
satisfying,令人称心满意的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),11,11,"review_14b7795a7ee7f65e7cbb2b5b :: The business was easy to find. The directions were clear and precise. Eric, the pilot, was friendly and on-time. We were given a detailed safety lesson, and a life preserver per FA..."
sketchy,令人不安可疑的,E1_E2_Candidate,Stage 1 (500 Discovery),11,11,"review_b0700a8634bacd88521c7b35 :: We had sketchy weather but it ended up clearing up..thankfully! Very smooth ride, beautiful views, very informative pilot. We have some great pics of us standing out on the pontoon..."
slick,熟练专业/光滑的,E1_E2_Candidate,Stage 1 (500 Discovery),11,11,"review_64c4071e89e9ea3813750482 :: This is a stunning way to see Grand Canyon.  Our 45 minute flight went too quickly and we appreciated the way our Pilot (Alex), put us at ease and guided us through the trip, with ..."
superlative,顶级极致赞赏的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),11,11,"review_c99f5ef9ee2e3e43e005ff7a :: AMAZING!!!  The entire experience, from booking to take off was superlative!  WestWind really knows what they are doing, they know how to take care of people.  Cannot recommend eno..."
surprising,令人惊喜震撼的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),11,11,review_d4243939be6899e9d7a60546 :: My spouse and I enjoyed a fantastic experience flying in a small plane and landing on Ruth glacier. Both takeoff and landing were surprising smooth. Our pilot made sure both sides ...
trepidation,惊恐战栗 / 不安,E1_E2_Candidate,Stage 1 (500 Discovery),11,10,review_b23941f57eba482fc0380ef3 :: We did the glacier landing tour and some of the Denali Range. We had an exceptional day to fly and the landscape was breathtaking. We did a bus tour the previous day and it was won...
wary,警惕顾虑的,E1_E2_Candidate,Stage 1 (500 Discovery),11,11,"review_d0e9a48cf416c4341761223b :: I have to admit, I was more than a little wary of getting into a helicopter and flying over the Grand Canyon!  I made the mistake of googling previous accidents! However, we awoke ..."
badly,严重地 / 糟糕地,E1_E2_Candidate,Stage 1 (500 Discovery),10,9,"review_f0339e7be775276f33b615ca :: Our flight was postponed due to iffy weather but better to be safe than sorry and as it turned out the following morning was GORGEOUS for flying.  

Our pilot had four decades of e..."
conscientious,认真负责的,E1_E2_Candidate,Stage 1 (500 Discovery),10,10,"review_9008f66337020b1c7b4dccde :: My husband and I are both pilots. My original idea was to get checked out, rent a plane, and fly ourselves. Crazily, we bumped into Eric in Kihei near the beach on our first night ..."
ecstatic,狂喜的 / 极度兴奋的,E1_E2_Candidate,Stage 1 (500 Discovery),10,10,"review_6dd0b031f85e9729b1e9f559 :: Ive been wanting to take a flight lesson forever... my wife got me a lesson with eric for my birthday and im so glad she did! 
Aside from the ecstatic experience of flying above th..."
emotional,情感上的 / 动情的,E1_E2_Candidate,Stage 1 (500 Discovery),10,10,"review_376acad2384794748501485f :: I enjoyed that Jason was a very relaxed and informative pilot.  We flew over the Talkeetna Mountains, the town of Talkeetna, and over Denali National Park and he provided informati..."
friendlier,更加亲切友好的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),10,10,"review_baacfd2401e7b5dc89583a66 :: I was a little apprehensive about flying in a small float plane. I'm so glad that I did, because it was one of the most incredible experiences I've ever had!! My group of six were ..."
improvement,体验改善 / 提升,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),10,10,"review_446d0be36a207bc3ab9ada7c :: The cancellation of the tour aside, the conduct of the company was troubling and needs improvement. They lack customer service...."
improving,不断改善令人满意的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),10,10,review_44da0895a8ce427167ab5d1a :: An amazing experience to see Mt. Denali from just five miles away ! We originally booked the Grand Denali tour at 10.30am but the snow conditions were not suitable for a glacier la...
jealous,令人羡慕嫉妒的,E1_State (Direct Internal Affective State),Stage 2 (2000 Expansion),10,9,review_21f52836b887ea5e81a636ac :: Everyone that does the open door helicopter tour will tell you to DO IT. I am telling you try something different and do the BIPLANE. It was fantastic. The tour lasted longer than ...
quaint,古朴宜人的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),10,10,review_6b17f5b0218c6e596e18af08 :: Took a noon flight to Friday harbor. Great flight great views!!  Smooth ride.  Friday harbor was lovely.  Quaint shops and restaurants. Took an afternoon flight back.  Also great f...
raving,赞不绝口极力推荐的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),10,10,"review_b1e05db05a5eb7c9b73d9dba :: Eric was so accommodating, he met up with us very last minute as we were heading back to Kaanapali from watching the sunrise at Haleakala. At first we wanted to do a helicopter tou..."
seasick,晕船 / 晕眩恶心的,E1_State (Direct Internal Affective State),Stage 2 (2000 Expansion),10,10,review_1ddb7237f25bd1f353e76b0c :: You really appreciate Kauai when you are able to see the entire island from the sky.  Only experiencing a small area where you can drive and go to the beach is not enough.  Seeing ...
splendid,壮丽绝妙的,E2_Appraisal (Stimulus/Service Attribute),Stage Final (Full Corpus),10,9,"review_8c47865482c37982ed4a3210 :: Instead of hours on a mule to reach the canyon floor, we are darn glad we opted to do this.  It is an adventure.  

For departure, go to Grand Canyon Airport (not heliport!)  We re..."
stability,平稳安心感,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),10,10,"review_2b6664194c28ab702124dcef :: The K2 Glacier landing tour was awesome flying to Denali. Even though we had an overcast day, the sun frequently peeked out between the clouds and presented us with great photos. I..."
stunningly,令人震撼地,E1_E2_Candidate,Stage 1 (500 Discovery),10,10,review_e8030f9d850853054630dceb :: I literally cried a little - it was so awesome and breathtaking! Landing on the glacier (though I have been on many) was thrilling and stunningly beautiful - don't miss it. Stan wa...
unfortunate,不幸遗憾的,E1_E2_Candidate,Stage 1 (500 Discovery),10,10,review_2314eff01c8d91698d1ba747 :: My girlfriend and I wanted to do something unique and memorable on our Maui vacation. This was it. We really wanted to see the Molokai sea cliffs and the unfortunate landslide on t...
automatically,自动地 / 自然而然,E1_E2_Candidate,Stage 1 (500 Discovery),9,9,"review_5b82c75988ee2cfa4a933c29 :: If you are coming to Alaska you must do this!  Our trip was the third weekend in May and the weather was gorgeous.  The trip is once in a lifetime.  Glaciers, mountains, rivers, an..."
awkward,尴尬的 / 别扭的,E1_E2_Candidate,Stage 1 (500 Discovery),9,9,"review_0f50928b644eab8e69fd4905 :: I need to reschedule the flight for 3 times because of Glacier Landing. When I asked a front desk person, when was the last glacier landing, she did not able to answer me which is ..."
bummer,令人扫兴扫兴的事,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),9,9,review_3790c878601276054187702d :: The views are something you can't get from viewpoints on the ground. Our pilot was great at pointing out all the areas we were flying over. Only bummer because of covid we couldn't...
cheerfully,欢快愉悦地,E1_State (Direct Internal Affective State),Stage 2 (2000 Expansion),9,8,review_ac50f8863348133ae180cf2f :: Denali makes its own weather. We had a total of 8 reservations over 3 days before it was finally the kind of weather that they could fly the Denali Grand Tour. We were able to wait...
compliment,赞美 / 赞赏评价,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),9,9,"review_27054e706b6164a5b18f9d8a :: The K2 Glacier Landing Flight on May 16 was easily the highlight of our Alaska vacation. I cannot compliment our wonderful pilot Chip enough for the great flight, explanations, poi..."
effortless,轻松平稳的,E1_E2_Candidate,Stage 1 (500 Discovery),9,9,review_74583e2676252038a02e2224 :: We were on our boat near River's Inlet and headed South to collect my brother and nephew who we were flying in for my nephew's 16th birthday present.  He had never been on a float ...
hassles,烦心事 / 摩擦,E1_E2_Candidate,Stage 1 (500 Discovery),9,9,"review_e1b1a89e3c4bed96938773d0 :: Our family booked the 30 minute seaplane adventure as part of our cruisetour.  Due to rainy weather, we were not able to take the tour but I wanted to acknowledge the wonderful cus..."
miserable,极度痛苦糟糕的,E1_State (Direct Internal Affective State),Stage 1 (500 Discovery),9,8,review_ba62bcb12cd2511fe9b89237 :: Our party of 4 ended up in Talkeetna on a cloudy day in the winter. I was bummed that we wouldn't see McKinley. Garret was willing to work with us on the hourly rate to get us up i...
stuffed,塞满的 / 憋闷不适的,E1_E2_Candidate,Stage 1 (500 Discovery),9,9,"review_5017f29c4699cdf6edac026c :: If you had one day in Alaska and had to pick one thing to do, flying with K2 Aviation to Denali National Park for a 3 hour hike (guided by Alaska Alpine Adventures) surrounded by g..."
susceptible,易受影响脆弱的,E1_E2_Candidate,Stage 1 (500 Discovery),9,9,review_a71a7d1d537c10e23e936974 :: We thoroughly enjoyed our scenic flight with Wings over Kauai and we were lucky enough to have Bruce as our very informative and personable pilot! We picked the 9am flight and were...
terribly,极度负面地 / 抱歉,E1_E2_Candidate,Stage 1 (500 Discovery),9,9,"review_8f9c482fa812af808578f428 :: Such a fun and easy ride. For somebody who’s not terribly fond of high places I found this relaxing, gorgeous and just really really fun.  No stress at all. From check in to the do..."
unspoiled,未经破坏原始纯粹的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),9,9,"review_5d3ecac0e55f148c0b4ac5f0 :: This was a great flight to Misty Fjords National Monument with Trevor Smith, our knowledgable and professional pilot. He obviously loves flying and especially his DeHavilland Beave..."
annoyed,感到烦恼的 / 恼火的,E1_State (Direct Internal Affective State),Stage 1 (500 Discovery),8,7,review_161b2ce9312f253a91300991 :: My husband is 6'4 and weighs a bit over 270 (just a big guy) and we struggled to find a helicopter that wouldn't charge us for an extra seat for him. I can understand if they were ...
exhausted,精疲力竭极为疲惫的,E1_State (Direct Internal Affective State),Stage 2 (2000 Expansion),8,8,review_9f2f86e28d3c8b6181cea0ee :: This was a fantastic trip and left us exhausted but very happy. All the tour guides were excellent and made every effort to make the tours interesting and informative.  Big thanks ...
exhilaration,极度兴奋快感,E1_State (Direct Internal Affective State),Stage 2 (2000 Expansion),8,8,"review_769ba54a1b0f6a5c4de58e94 :: Accessing the formattable Denali summit is a privilege and one we were glad to share with K2 Aviation. 

Their professionalism and Talkeetna base (great town) allowed us to simply ..."
frustration,挫败感 / 烦恼,E1_E2_Candidate,Stage 1 (500 Discovery),8,8,review_b663b185089984f92724578d :: I had a confirmed booked through Alaska Shore Tours for the Neets Bay Floatplane bear watch tour. At the time I was not aware that Alaska Shore Tours had subcontracted the tour to ...
grace,优雅 / 良好风度,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),8,8,review_b02b203c5e74fa0264e17bd7 :: I cannot recommend the K2 experience enough. Both the flying and the views were far beyond my expectations. I am a pilot myself and I have read about bush flying for years which gi...
mindful,细心周到的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),8,8,"review_740f1ebe506248f7115cec45 :: Amazing flight! Pilot was informative, funny, and mindful. Beautiful scenery, gorgeous ocean views, and so many whales. If you’re thinking about going, book now!..."
nerve,紧张神经,E1_E2_Candidate,Stage 1 (500 Discovery),8,8,"review_bc094451a516daefa055857a :: This was one of the most unique experiences I have ever had! The flight from Phoenix to the Canyon was a bit nerve wracking, due to the small aircraft. Since there were only two of..."
